Part Number,Type,Diameter,Length,Material,Finish
70145,Hex Cap Screw,"3/8""-24","1-3/4""",Stainless Steel,Plain
1170144,Hex Cap Screw,"3/8""-24","1-1/2""",Stainless Steel,Plain
70832,Jam Nut,"3/8""-24",-,Stainless Steel,Plain
1171071,Split Lock Washer,"1/2""",-,Stainless Steel,Plain
1171021,General Purpose Flat Washer,"1/2""",-,Stainless Steel,Plain
1170714,Hex Nut,"1/2""-13",-,Stainless Steel,Plain
1170734,Hex Nut,"1/2""-20",-,Stainless Steel,Plain
1173589,Socket Cap Screw,"1/2""-13","1-1/2""",Stainless Steel,Plain
1170205,Hex Cap Screw,"1/2""-13","1""",Stainless Steel,Plain
1170210,Hex Cap Screw,"1/2""-13","1-3/4""",Stainless Steel,Plain
1171069,Split Lock Washer,"7/16""",-,Stainless Steel,Plain
70838,Jam Nut,"7/8""-14",-,Stainless Steel,Plain
9900281,Flat Washer,"1""",-,Stainless Steel,Plain
71025,General Purpose Flat Washer,"5/8""",-,Stainless Steel,Plain
73406,Socket Cap Screw,#4-40,"3/4""",Stainless Steel,Plain
780110100,Socket Cap Screw,#4-40,"1""",Stainless Steel,Plain
171053,Socket Cap Screw,#4-40,"1-1/2""",Stainless Steel,Plain
73710,Button Socket Cap Screw,#4-40,"1/4""",Stainless Steel,Plain
73712,Button Socket Cap Screw,#4-40,"1/2""",Stainless Steel,Plain
MX2580008A20000,Socket Set Screw,M8-1.25,8mm,Stainless Steel,Plain
MX2530012A20000,Socket Set Screw,M4-0.7,12mm,Stainless Steel,Plain
MX2530010A20000,Socket Set Screw,M4-0.7,10mm,Stainless Steel,Plain
MX2530006A20000,Socket Set Screw,M4-0.7,6mm,Stainless Steel,Plain
MX2540020A20000,Socket Set Screw,M5-0.8,20mm,Stainless Steel,Plain
MX2530004A20000,Socket Set Screw,M4-0.7,4mm,Stainless Steel,Plain
MX2550025A20000,Socket Set Screw,M6-1.0,25mm,Stainless Steel,Plain
MX2580060A20000,Socket Set Screw,M8-1.25,60mm,Stainless Steel,Plain
MX2580045A20000,Socket Set Screw,M8-1.25,45mm,Stainless Steel,Plain
MX2550020A20000,Socket Set Screw,M6-1.0,20mm,Stainless Steel,Plain
MX2540012A20000,Socket Set Screw,M5-0.8,12mm,Stainless Steel,Plain
MX2510012A20000,Socket Set Screw,M3-0.5,12mm,Stainless Steel,Plain
MX2550016A20000,Socket Set Screw,M6-1.0,16mm,Stainless Steel,Plain
MX2540006A20000,Socket Set Screw,M5-0.8,6mm,Stainless Steel,Plain
MX2510010A20000,Socket Set Screw,M3-0.5,10mm,Stainless Steel,Plain
MX2510006A20000,Socket Set Screw,M3-0.5,6mm,Stainless Steel,Plain
MX2540005A20000,Socket Set Screw,M5-0.8,5mm,Stainless Steel,Plain
MX2550010A20000,Socket Set Screw,M6-1.0,10mm,Stainless Steel,Plain
MX2510004A20000,Socket Set Screw,M3-0.5,4mm,Stainless Steel,Plain
MX2550006A20000,Socket Set Screw,M6-1.0,6mm,Stainless Steel,Plain
MX2580025A20000,Socket Set Screw,M8-1.25,25mm,Stainless Steel,Plain
M42540012A20000,Flat Socket Cap Screw,M5-0.8,12mm,Stainless Steel,Plain
M42540050A20000,Flat Socket Cap Screw,M5-0.8,50mm,Stainless Steel,Plain
M42550040A20000,Flat Socket Cap Screw,M6-1.0,40mm,Stainless Steel,Plain
M42600020A20000,Flat Socket Cap Screw,M10-1.5,20mm,Stainless Steel,Plain
M42600016A20000,Flat Socket Cap Screw,M10-1.5,16mm,Stainless Steel,Plain
M42550020A20000,Flat Socket Cap Screw,M6-1.0,20mm,Stainless Steel,Plain
M42540040A20000,Flat Socket Cap Screw,M5-0.8,40mm,Stainless Steel,Plain
M42550016A20000,Flat Socket Cap Screw,M6-1.0,16mm,Stainless Steel,Plain
M42540035A20000,Flat Socket Cap Screw,M5-0.8,35mm,Stainless Steel,Plain
M42540008A20000,Flat Socket Cap Screw,M5-0.8,8mm,Stainless Steel,Plain
M42530016A20000,Flat Socket Cap Screw,M4-0.7,16mm,Stainless Steel,Plain
M42540030A20000,Flat Socket Cap Screw,M5-0.8,30mm,Stainless Steel,Plain
M42550012A20000,Flat Socket Cap Screw,M6-1.0,12mm,Stainless Steel,Plain
M42550010A20000,Flat Socket Cap Screw,M6-1.0,10mm,Stainless Steel,Plain
M42540020A20000,Flat Socket Cap Screw,M5-0.8,20mm,Stainless Steel,Plain
M42530012A20000,Flat Socket Cap Screw,M4-0.7,12mm,Stainless Steel,Plain
M42580020A20000,Flat Socket Cap Screw,M8-1.25,20mm,Stainless Steel,Plain
M42580012A20000,Flat Socket Cap Screw,M8-1.25,12mm,Stainless Steel,Plain
M42550008A20000,Flat Socket Cap Screw,M6-1.0,8mm,Stainless Steel,Plain
M42540016A20000,Flat Socket Cap Screw,M5-0.8,16mm,Stainless Steel,Plain
M42530008A20000,Flat Socket Cap Screw,M4-0.7,8mm,Stainless Steel,Plain
1173882,Flat Socket Cap Screw,"1/4""-20","3/4""",Stainless Steel,Plain
72040,Machine Screw,#4-40,"1/2""",Stainless Steel,Plain
1171053,Split Lock Washer,#4,-,Stainless Steel,Plain
1171003,General Purpose Flat Washer,#4,-,Stainless Steel,Plain
1170704,Machine Screw Nut,#4-40,-,Stainless Steel,Plain
1173410,Socket Cap Screw,#4-40,"1/4""",Stainless Steel,Plain
73404,Socket Cap Screw,#4-40,"5/16""",Stainless Steel,Plain
1173412,Socket Cap Screw,#4-40,"1/2""",Stainless Steel,Plain
73405,Socket Cap Screw,#4-40,"5/8""",Stainless Steel,Plain
73688,Button Socket Cap Screw,#2-56,"3/16""",Stainless Steel,Plain
171026,Socket Cap Screw,#2-56,"3/4""",Stainless Steel,Plain
170023,Machine Screw,#3-48,"3/4""",Stainless Steel,Plain
70701,Machine Screw Nut,#0-80,-,Stainless Steel,Plain
78051,Split Lock Washer,#2,-,Stainless Steel,Plain
71001,General Purpose Flat Washer,#2,-,Stainless Steel,Plain
70702,Machine Screw Nut,#2-56,-,Stainless Steel,Plain
